技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
共鳴技能	沖掌·勢式相承傷害-1	共鳴技能	1	冷凝	Damage	攻擊	66.70%	72.17%	77.64%	85.30%	90.77%	97.06%	105.81%	114.56%	123.31%	132.61%	1.66	3.33	1.00	0.6670		Skill						3.33		1.66		0				
共鳴技能	驚躍·鬱怒追逃傷害-1	共鳴技能	2	冷凝	Damage	攻擊	38.35%	41.50%	44.64%	49.05%	52.19%	55.81%	60.84%	65.87%	70.90%	76.25%	0.95	1.91	1.00	0.3835		Skill						1.91		0.95		0				
共鳴技能	沖掌·勢式相承傷害	共鳴技能		冷凝	Damage	攻擊	66.70%	72.17%	77.64%	85.30%	90.77%	97.06%	105.81%	114.56%	123.31%	132.61%	1.66	3.33	1.00	0.6670		Skill						3.33		1.66						
共鳴技能	驚躍·鬱怒追逃傷害	共鳴技能		冷凝	Damage	攻擊	76.70%	83.00%	89.28%	98.10%	104.38%	111.62%	121.68%	131.74%	141.80%	152.50%	1.90	3.82	2.00	0.7670		Skill						3.82		1.90						
共鳴解放	奮進·獅子奮迅，俱足萬行-1	共鳴解放	1	冷凝	Damage	攻擊	200.00%	216.40%	232.80%	255.76%	272.16%	291.02%	317.26%	343.50%	369.74%	397.62%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放	奮進·獅子奮迅，俱足萬行	共鳴解放		冷凝	Damage	攻擊	200.00%	216.40%	232.80%	255.76%	272.16%	291.02%	317.26%	343.50%	369.74%	397.62%	0.00	0.00	1.00	4.0000		Liberation						20.00		0.00	125	20	14			
變奏	出洞·睡獅蟄醒-1	變奏技能	1	冷凝	Damage	攻擊	50.00%	54.10%	58.20%	63.94%	68.04%	72.76%	79.32%	85.88%	92.44%	99.41%	5.00	0.00	1.00	0.7735		Intro						0.00		5.00						
變奏	出洞·睡獅蟄醒	變奏技能		冷凝	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.52%	158.64%	171.76%	184.88%	198.82%	10.00	0.00	2.00	1.5470		Intro						10.00		10.00						
延奏	留痕·踏雪點星	延奏技能		冷凝	Damage	攻擊	587.94%	587.94%	587.94%	587.94%	587.94%	587.94%	587.94%	587.94%	587.94%	587.94%						Outro														
普攻	狂態·搖光金獅舞第一段傷害-1	共鳴回路	1	冷凝	Damage	攻擊	43.80%	47.40%	50.99%	56.02%	59.61%	63.74%	69.48%	75.23%	80.98%	87.08%	1.75	1.75	1.00	0.3504		Basic						1.75		1.75						
普攻	狂態·搖光金獅舞第一段傷害-2	共鳴回路	2	冷凝	Damage	攻擊	43.80%	47.40%	50.99%	56.02%	59.61%	63.74%	69.48%	75.23%	80.98%	87.08%	1.75	1.75	1.00	0.3504		Basic						1.75		1.75						
普攻	狂態·搖光金獅舞第一段傷害-3	共鳴回路	3	冷凝	Damage	攻擊	58.40%	63.19%	67.98%	74.69%	79.48%	84.98%	92.64%	100.31%	107.97%	116.11%	2.33	2.33	1.00	0.4672		Basic						2.33		2.33						
普攻	狂態·搖光金獅舞第二段傷害-1	共鳴回路	4	冷凝	Damage	攻擊	15.98%	17.29%	18.60%	20.44%	21.75%	23.26%	25.35%	27.45%	29.55%	31.77%	0.63	0.63	1.00	0.1279		Basic						0.63		0.63						
普攻	狂態·搖光金獅舞第二段傷害-2	共鳴回路	5	冷凝	Damage	攻擊	15.98%	17.29%	18.60%	20.44%	21.75%	23.26%	25.35%	27.45%	29.55%	31.77%	0.63	0.63	1.00	0.1279		Basic						0.63		0.63						
普攻	凌雲式·腿打連環傷害-1	共鳴回路	6	冷凝	Damage	攻擊	18.13%	19.61%	21.10%	23.18%	24.67%	26.37%	28.75%	31.13%	33.51%	36.03%	0.72	0.72	1.00	0.1450		Basic						0.72		0.72						
普攻	凌雲式·腿打連環傷害-2	共鳴回路	7	冷凝	Damage	攻擊	18.13%	19.61%	21.10%	23.18%	24.67%	26.37%	28.75%	31.13%	33.51%	36.03%	0.72	0.72	1.00	0.1450		Basic						0.72		0.72						
普攻	凌雲式·腿打連環傷害-3	共鳴回路	8	冷凝	Damage	攻擊	96.65%	104.58%	112.51%	123.60%	131.53%	140.64%	153.32%	166.00%	178.68%	192.15%	3.86	3.86	1.00	0.7732		Basic						3.86		3.86						
共鳴技能	飛身式·翻山越澗傷害-1	共鳴回路	9	冷凝	Damage	攻擊	41.69%	45.11%	48.53%	53.31%	56.73%	60.66%	66.13%	71.60%	77.07%	82.88%	1.66	1.66	1.00	0.3335		Skill						1.66		1.66						
普攻	登樓·尾墜千斤傷害-1	共鳴回路	10	冷凝	Damage	攻擊	88.00%	95.22%	102.44%	112.54%	119.76%	128.05%	139.60%	151.14%	162.69%	174.96%	0.73	1.46	1.00	0.8800		Basic						1.46		0.73						
共鳴技能	飛身式·翻山越澗傷害-2	共鳴回路	11	冷凝	Damage	攻擊	125.07%	135.32%	145.58%	159.93%	170.19%	181.98%	198.39%	214.80%	231.21%	248.64%	1.00	1.00	1.00	0.1000		Skill						1.00		1.00						
重擊	起勢·縱地金光傷害-1	共鳴回路	12	冷凝	Damage	攻擊	86.70%	93.81%	100.92%	110.88%	117.99%	126.16%	137.54%	148.91%	160.29%	172.37%	2.60	2.60	1.00	0.8670		Heavy						2.60		2.60						
重擊	起勢·縱地金光傷害	共鳴回路		冷凝	Damage	攻擊	86.70%	93.81%	100.92%	110.88%	117.99%	126.16%	137.54%	148.91%	160.29%	172.37%	2.60	2.60	1.00	0.8670		Heavy						2.60		2.60						
普攻	狂態·搖光金獅舞第一段傷害	共鳴回路		冷凝	Damage	攻擊	146.00%	157.99%	169.96%	186.73%	198.70%	212.46%	231.60%	250.77%	269.93%	290.27%	5.83	5.83	3.00	1.1680		Basic						5.83		5.83						
普攻	狂態·搖光金獅舞第二段傷害	共鳴回路		冷凝	Damage	攻擊	95.88%	103.74%	111.60%	122.64%	130.50%	139.56%	152.10%	164.70%	177.30%	190.62%	3.78	3.78	6.00	0.7674		Basic						3.78		3.78						
共鳴技能	飛身式·翻山越澗傷害	共鳴回路		冷凝	Damage	攻擊	83.38%	90.22%	97.06%	106.62%	113.46%	121.32%	132.26%	143.20%	154.14%	165.76%	3.32	3.32	2.00	0.6670		Skill						3.32		3.32						
普攻	凌雲式·腿打連環傷害	共鳴回路		冷凝	Damage	攻擊	241.69%	261.46%	281.31%	309.04%	328.89%	351.60%	383.32%	415.04%	446.76%	480.39%	9.62	9.62	9.00	1.9332		Basic						9.62		9.62						
普攻	登樓·尾墜千斤傷害	共鳴回路		冷凝	Damage	攻擊	176.00%	190.44%	204.88%	225.08%	239.52%	256.10%	279.20%	302.28%	325.38%	349.92%	1.46	2.92	2.00	1.7600		Basic						2.92		1.46						
