技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第四段傷害	常態攻擊		湮滅	Damage	攻擊	104.82%	113.40%	122.00%	134.04%	142.62%	152.52%	166.26%	180.02%	193.76%	208.38%	3.10	9.88	2.00	1.2330		Basic						9.88		3.10						
重擊	重擊傷害	常態攻擊		湮滅	Damage	攻擊	85.00%	91.97%	98.94%	108.70%	115.67%	123.69%	134.84%	145.99%	157.14%	168.99%	2.50	8.00	1.00	1.0000		Heavy			10.00			8.00		2.50						
	重擊蓄力時每秒耐力消耗	常態攻擊																							15.00											
普攻	空中攻擊傷害	常態攻擊		湮滅	Damage	攻擊	52.70%	57.03%	61.35%	67.40%	71.72%	76.69%	83.60%	90.52%	97.43%	104.78%	1.55	4.96	1.00	0.6200		Basic			30.00			4.96		1.55						
普攻	閃避反擊傷害	常態攻擊		湮滅	Damage	攻擊	103.98%	112.50%	121.02%	132.96%	141.48%	151.29%	164.91%	178.56%	192.21%	206.70%	1.56	5.01	3.00	1.5000		Basic						5.01		1.56						
共鳴技能	高難度設計-1	共鳴技能	1	湮滅	Damage	攻擊	30.92%	33.46%	35.99%	39.54%	42.07%	44.99%	49.05%	53.10%	57.16%	61.47%	1.75	0.00	1.00	0.2500		Skill						0.00		1.75						
共鳴技能	高難度設計	共鳴技能		湮滅	Damage	攻擊	247.36%	267.68%	287.92%	316.32%	336.56%	359.92%	392.40%	424.80%	457.28%	491.76%	14.00	0.00	8.00	2.0000		Skill						20.00		14.00		10				
共鳴解放	即興喜劇，開場-1	共鳴解放	1	湮滅	Damage	攻擊	140.00%	151.48%	162.96%	179.04%	190.52%	203.72%	222.09%	240.45%	258.82%	278.34%	0.00	0.00	1.00	1.3334		Liberation						0.00		0.00						
共鳴解放		共鳴解放	2	湮滅	Damage	攻擊	168.00%	181.78%	195.56%	214.84%	228.62%	244.46%	266.50%	288.54%	310.59%	334.01%	0.00	0.00	1.00	1.3334		Liberation						0.00		0.00						
共鳴解放	即興喜劇，開場	共鳴解放		湮滅	Damage	攻擊	420.00%	454.44%	488.88%	537.12%	571.56%	611.16%	666.27%	721.35%	776.46%	835.02%	0.00	0.00	3.00	4.0002		Liberation						20.00		0.00	125	20				
變奏	佩洛，來幫忙-1	變奏技能	1	湮滅	Damage	攻擊	85.00%	91.97%	98.94%	108.70%	115.67%	123.69%	134.84%	145.99%	157.14%	168.99%	10.00	0.00	1.00	1.3530		Intro						0.00		10.00						
變奏	佩洛，來幫忙	變奏技能		湮滅	Damage	攻擊	85.00%	91.97%	98.94%	108.70%	115.67%	123.69%	134.84%	145.99%	157.14%	168.99%	10.00	0.00	1.00	1.3530		Intro						10.00		10.00						
	掌聲鼓勵	延奏技能																																		
共鳴技能	普攻·幻想照進現實-第一段傷害-1	共鳴回路	1	湮滅	Damage	攻擊	162.00%	175.29%	188.57%	207.17%	220.45%	235.73%	256.99%	278.24%	299.49%	322.08%	8.00	0.00	1.00	1.0000		Skill						0.00		8.00						
共鳴技能	普攻·幻想照進現實-第二段傷害-1	共鳴回路	2	湮滅	Damage	攻擊	171.00%	185.03%	199.05%	218.68%	232.70%	248.83%	271.26%	293.70%	316.13%	339.97%	8.00	0.00	1.00	1.0000		Skill						0.00		8.00						
共鳴技能	普攻·幻想照進現實-第三段傷害-1	共鳴回路	3	湮滅	Damage	攻擊	180.00%	194.76%	209.52%	230.19%	244.95%	261.92%	285.54%	309.15%	332.77%	357.86%	8.00	0.00	1.00	1.0000		Skill						0.00		8.00						
共鳴技能		共鳴回路	4	湮滅	Damage	攻擊	259.20%	280.46%	301.71%	331.47%	352.72%	377.17%	411.17%	445.18%	479.19%	515.32%	8.00	0.00	1.00	1.0000		Skill						0.00		8.00						
共鳴技能		共鳴回路	5	湮滅	Damage	攻擊	273.60%	296.04%	318.48%	349.88%	372.32%	398.12%	434.02%	469.91%	505.81%	543.95%	8.00	0.00	1.00	1.0000		Skill						0.00		8.00						
共鳴技能		共鳴回路	6	湮滅	Damage	攻擊	288.00%	311.62%	335.24%	368.30%	391.92%	419.07%	456.86%	494.64%	532.43%	572.58%	8.00	0.00	1.00	1.0000		Skill						0.00		8.00						
共鳴技能		共鳴回路	7	湮滅	Damage	攻擊	180.00%	194.76%	209.52%	230.19%	244.95%	261.92%	285.54%	309.15%	332.77%	357.86%	1.20	0.00	1.00	1.0000		Skill						0.00		1.20						
共鳴技能		共鳴回路	8	湮滅	Damage	攻擊	288.00%	311.62%	335.24%	368.30%	391.92%	419.07%	456.86%	494.64%	532.43%	572.58%	1.20	0.00	1.00	1.0000		Skill						0.00		1.20						
共鳴技能	普攻·幻想照進現實-第一段傷害	共鳴回路		湮滅	Damage	攻擊	162.00%	175.29%	188.57%	207.17%	220.45%	235.73%	256.99%	278.24%	299.49%	322.08%	8.00	0.00	1.00	1.0000		Skill						17.00		8.00						
共鳴技能	普攻·幻想照進現實-第二段傷害	共鳴回路		湮滅	Damage	攻擊	171.00%	185.03%	199.05%	218.68%	232.70%	248.83%	271.26%	293.70%	316.13%	339.97%	8.00	0.00	1.00	1.0000		Skill						17.00		8.00						
共鳴技能	普攻·幻想照進現實-第三段傷害	共鳴回路		湮滅	Damage	攻擊	180.00%	194.76%	209.52%	230.19%	244.95%	261.92%	285.54%	309.15%	332.77%	357.86%	8.00	0.00	1.00	1.0000		Skill						17.00		8.00						
