種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		常態攻擊	11	熱熔	Damage	攻擊	17.55%	18.99%	20.43%	22.45%	23.89%	25.54%	27.84%	30.15%	32.45%	34.90%	0.48	1.00	1.00	0.16	Basic						1.00		0.48						
普攻	閃避反擊傷害-1	常態攻擊	12	熱熔	Damage	攻擊	171.00%	185.03%	199.05%	218.68%	232.70%	248.83%	271.26%	293.70%	316.13%	339.97%	4.75	4.00	1.00	1.50	Basic						4.00		4.75						
普攻	第一段傷害	常態攻擊		熱熔	Damage	攻擊	33.30%	36.04%	38.77%	42.59%	45.32%	48.46%	52.83%	57.20%	61.57%	66.21%	0.92	2.00	1.00	0.30	Basic						2.00		0.92						
普攻	第二段傷害	常態攻擊		熱熔	Damage	攻擊	48.60%	52.60%	56.58%	62.16%	66.14%	70.72%	77.10%	83.48%	89.86%	96.64%	1.34	2.00	2.00	0.43	Basic						2.00		1.34						
普攻	第三段傷害	常態攻擊		熱熔	Damage	攻擊	67.52%	73.04%	78.60%	86.32%	91.88%	98.24%	107.08%	115.96%	124.80%	134.20%	1.84	6.00	4.00	0.60	Basic						6.00		1.84						
普攻	第四段傷害	常態攻擊		熱熔	Damage	攻擊	117.00%	126.60%	136.19%	149.62%	159.22%	170.25%	185.60%	200.95%	216.30%	232.61%	3.25	4.00	1.00	1.04	Basic						4.00		3.25						
普攻	重擊傷害	常態攻擊		熱熔	Damage	攻擊	18.00%	19.48%	20.96%	23.02%	24.50%	26.20%	28.56%	30.92%	33.28%	35.79%	0.50	1.00	1.00	0.16	Basic						1.00		0.50						
重擊	滿蓄力重擊傷害	常態攻擊		熱熔	Damage	攻擊	40.50%	43.83%	47.15%	51.80%	55.12%	58.94%	64.25%	69.56%	74.88%	80.52%	1.12	2.25	1.00	0.36	Heavy						2.25		1.12						
普攻	空中攻擊傷害	常態攻擊		熱熔	Damage	攻擊	16.20%	17.53%	18.86%	20.72%	22.05%	23.58%	25.70%	27.83%	29.95%	32.21%	0.45	0.50	1.00	0.14	Basic			5.00			0.50		0.45						
普攻	閃避反擊傷害	常態攻擊		熱熔	Damage	攻擊	171.00%	185.03%	199.05%	218.68%	232.70%	248.83%	271.26%	293.70%	316.13%	339.97%	4.75	4.00	1.00	1.50	Basic						4.00		4.75						
共鳴技能	咻咻鬥意-1	共鳴技能	1	熱熔	Damage	攻擊	16.00%	17.32%	18.63%	20.47%	21.78%	23.29%	25.39%	27.48%	29.58%	31.81%	0.75	0.00	1.00	0.10	Skill						0.00		0.75						
共鳴技能	咻咻鬥意	共鳴技能		熱熔	Damage	攻擊	128.00%	138.56%	149.04%	163.76%	174.24%	186.32%	203.12%	219.84%	236.64%	254.48%	6.00	0.00	8.00	0.80	Skill						10.00		6.00		9				
共鳴解放	熾烈焰火-1	共鳴解放	1	熱熔	Damage	攻擊	480.00%	519.36%	558.72%	613.83%	653.19%	698.45%	761.43%	824.40%	887.38%	954.29%	0.00	0.00	1.00	2.80	Liberation						0.00		0.00						
共鳴解放	熾烈焰火-2	共鳴解放	2	熱熔	Damage	攻擊	29.10%	31.48%	33.87%	37.21%	39.59%	42.34%	46.15%	49.97%	53.79%	57.84%	0.00	0.00	1.00	0.10	Liberation						0.00		0.00						
共鳴解放	熾烈焰火	共鳴解放		熱熔	Damage	攻擊	800.10%	865.64%	931.29%	1023.14%	1088.68%	1164.19%	1269.08%	1374.07%	1479.07%	1590.53%	0.00	0.00	12.00	3.90	Liberation						20.00		0.00	150	20				
變奏		變奏技能	1	熱熔	Damage	攻擊	24.75%	26.78%	28.81%	31.66%	33.68%	36.02%	39.27%	42.51%	45.76%	49.21%	3.00	0.00	1.00	0.24	Intro						0.00		3.00						
變奏		變奏技能	2	熱熔	Damage	攻擊	12.38%	13.39%	14.41%	15.83%	16.84%	18.01%	19.64%	21.26%	22.88%	24.61%	1.00	0.00	1.00	0.10	Intro						0.00		1.00						
變奏	堂堂登場	變奏技能		熱熔	Damage	攻擊	99.02%	107.12%	115.26%	126.64%	134.72%	144.08%	157.10%	170.06%	183.04%	196.86%	10.00	0.00	6.00	0.88	Intro						10.00		10.00						
共鳴技能		共鳴回路	1	熱熔	Damage	攻擊	10.00%	10.82%	11.64%	12.79%	13.61%	14.56%	15.87%	17.18%	18.49%	19.89%	0.36	0.00	1.00	0.07	Skill						0.00		0.36						
共鳴技能		共鳴回路	2	熱熔	Damage	攻擊	220.00%	238.04%	256.08%	281.34%	299.38%	320.13%	348.99%	377.85%	406.72%	437.39%	4.00	5.00	1.00	1.20	Skill						5.00		4.00						
共鳴技能	熱壓彈傷害	共鳴回路		熱熔	Damage	攻擊	10.00%	10.82%	11.64%	12.79%	13.61%	14.56%	15.87%	17.18%	18.49%	19.89%	0.36	0.00	1.00	0.07	Skill						0.50		0.36						
共鳴技能	轟轟傷害	共鳴回路		熱熔	Damage	攻擊	220.00%	238.04%	256.08%	281.34%	299.38%	320.13%	348.99%	377.85%	406.72%	437.39%	4.00	5.00	1.00	1.20	Skill						5.00		4.00						
	咔咔壓制																										10.00								
延奏	躍焰	延奏技能		熱熔	Damage	攻擊	530.00%	530.00%	530.00%	530.00%	530.00%	530.00%	530.00%	530.00%	530.00%	530.00%					Outro														
