種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
共鳴技能	混沌理論-1	共鳴技能	1	衍射	Damage	攻擊	15.75%	17.04%	18.33%	20.14%	21.43%	22.91%	24.98%	27.05%	29.11%	31.31%	2.00	2.00	1.00	0.40	Skill						2.00		2.00						
	混沌理論-2	共鳴技能	2	-	Healing	生命	660 +3.0%	715 +3.25%	769 +3.5%	845 +3.84%	899 +4.09%	961 +4.37%	1047 +4.76%	1134 +5.16%	1221 +5.55%	1313 +5.97%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	混沌理論	共鳴技能																									20.00				16				
共鳴技能	混沌理論-黯星·蝶傷害	共鳴技能		衍射	Damage	攻擊	15.75%	17.04%	18.33%	20.14%	21.43%	22.91%	24.98%	27.05%	29.11%	31.31%	2.00	2.00	1.00	0.40	Skill						2.00		2.00						
	混沌理論-治療量	共鳴技能		-	Healing	生命	660 + 3.00%	715 + 3.25%	769 + 3.50%	845 + 3.84%	899 + 4.09%	961 + 4.37%	1047 + 4.76%	1134 + 5.16%	1221 + 5.55%	1313 + 5.97%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	終末回環-1	共鳴解放	1	-	Healing	生命	220 +1.2%	239 +1.3%	257 +1.4%	282 +1.54%	300 +1.64%	321 +1.75%	349 +1.91%	378 +2.07%	407 +2.22%	438 +2.39%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	終末回環	共鳴解放																									20.00			175	25	30			
	終末回環-治療量	共鳴解放		-	Healing	生命	220 +1.2%	239 +1.3%	257 +1.4%	282 +1.54%	300 +1.64%	321 +1.75%	349 +1.91%	378 +2.07%	407 +2.22%	438 +2.39%	0.00	0.00	0.00	0.00	-						0.00		0.00						
共鳴解放	故此證明-洞悉傷害-1	變奏技能	1	衍射	Damage	生命	9.88%	10.69%	11.50%	12.64%	13.45%	14.38%	15.67%	16.97%	18.26%	19.64%	3.34	0.00	1.00	0.33	Liberation						0.00		3.34						
共鳴技能	故此證明-啟迪傷害-1	變奏技能	2	衍射	Damage	攻擊	22.79%	24.66%	26.53%	29.14%	31.01%	33.16%	36.15%	39.14%	42.13%	45.30%	2.00	2.00	1.00	0.28	Skill						2.00		2.00						
	故此證明-啟迪治療量-1	變奏技能	3	-	Healing	生命	130 +0.6%	141 +0.65%	152 +0.7%	167 +0.77%	177 +0.82%	190 +0.88%	207 +0.96%	224 +1.04%	241 +1.11%	259 +1.2%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	故此證明-洞悉治療量-1	變奏技能	4	-	Healing	生命	145 +0.66%	157 +0.72%	169 +0.77%	186 +0.85%	198 +0.9%	211 +0.97%	231 +1.05%	250 +1.14%	269 +1.23%	289 +1.32%	0.00	0.00	0.00	0.00	-						0.00		0.00						
共鳴解放		變奏技能	5	衍射	Damage	生命	14.03%	15.18%	16.33%	17.94%	19.09%	20.41%	22.25%	24.09%	25.93%	27.89%	3.34	0.00	1.00	0.33	Liberation						0.00		3.34						
	故此證明	變奏技能																																	
共鳴技能	故此證明-啟迪傷害	變奏技能		衍射	Damage	攻擊	113.95%	123.30%	132.65%	145.70%	155.05%	165.80%	180.75%	195.70%	210.65%	226.50%	10.00	10.00	5.00	1.42	Skill						10.00		10.00						
共鳴解放	故此證明-洞悉傷害	變奏技能		衍射	Damage	生命	29.64%	32.07%	34.50%	37.92%	40.35%	43.14%	47.01%	50.91%	54.78%	58.92%	10.02	0.00	3.00	1.00	Liberation						0.00		10.02						
	故此證明-啟迪治療量	變奏技能		-	Healing	生命	130 + 0.60%	141 + 0.65%	152 + 0.70%	167 + 0.77%	177 + 0.82%	190 + 0.88%	207 + 0.96%	224 + 1.04%	241 + 1.11%	259 + 1.20%																			
	故此證明-洞悉治療量	變奏技能		-	Healing	生命	145 + 0.66%	157 + 0.72%	169 + 0.77%	186 + 0.85%	198 + 0.90%	211 + 0.97%	231 + 1.05%	250 + 1.14%	269 + 1.23%	289 + 1.32%																			
	雙聯合相	延奏技能																																	
普攻	群星漫響-衍變傷害-1	共鳴回路	1	衍射	Damage	攻擊	37.20%	40.26%	43.31%	47.58%	50.63%	54.13%	59.02%	63.90%	68.78%	73.96%	1.55	0.00	1.00	0.50	Basic						0.00		1.55						
重擊	群星漫響-演繹傷害-1	共鳴回路	2	衍射	Damage	攻擊	9.54%	10.33%	11.11%	12.20%	12.99%	13.89%	15.14%	16.39%	17.64%	18.97%	0.40	0.00	1.00	0.13	Heavy						0.00		0.40						
普攻	群星漫響-耀星·蝶傷害-1	共鳴回路	3	衍射	Damage	攻擊	18.76%	20.29%	21.83%	23.99%	25.52%	27.29%	29.75%	32.21%	34.67%	37.29%	0.59	1.00	1.00	0.19	Basic						1.00		0.59						
普攻	群星漫響-耀星·蝶傷害	共鳴回路		衍射	Damage	攻擊	18.76%	20.29%	21.83%	23.99%	25.52%	27.29%	29.75%	32.21%	34.67%	37.29%	59.00%	100.00%	100.00%	18.76%	Basic						1.00		0.59						
	群星漫響-演繹傷害	共鳴回路		衍射	Damage	攻擊	47.70%	51.65%	55.55%	61.00%	64.95%	69.45%	75.70%	81.95%	88.20%	94.85%	200.00%	0.00%	500.00%	63.60%	Heavy			25.00			6.00								
	群星漫響-衍變傷害	共鳴回路		衍射	Damage	攻擊	37.20%	40.26%	43.31%	47.58%	50.63%	54.13%	59.02%	63.90%	68.78%	73.96%	155.00%	0.00%	100.00%	49.60%	Basic			30.00			6.00								
