種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
重擊	重擊傷害	常態攻擊		導電	Damage	攻擊	83.30%	90.14%	96.98%	106.54%	113.36%	121.22%	132.14%	143.08%	154.00%	165.62%	2.10	4.18	2.00	0.83	Heavy			20.00			4.18		2.10						
普攻	空中攻擊傷害	常態攻擊		導電	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.52	1.00	1.00	0.62	Basic			30.00			1.00		0.52						
普攻	閃避反擊傷害	常態攻擊		導電	Damage	攻擊	120.00%	129.84%	139.68%	153.46%	163.30%	174.62%	190.36%	206.10%	221.85%	238.58%	2.75	2.50	1.00	1.50	Basic						2.50		2.75						
共鳴技能	基本推演-1	共鳴技能	1	導電	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	6.25	0.00	1.00	2.00	Skill						0.00		6.25						
共鳴技能	基本推演	共鳴技能		導電	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	6.25	0.00	1.00	2.00	Skill						7.00		6.25		5				
共鳴解放	思維矩陣傷害-1	共鳴解放	1	導電	Damage	攻擊	817.54%	884.57%	951.61%	1045.46%	1112.50%	1189.60%	1296.86%	1404.12%	1511.38%	1625.34%	0.00	0.00	1.00	4.00	Liberation						0.00		0.00						
普攻	樞機·勘破第一段傷害-1	共鳴解放	2	導電	Damage	攻擊	60.19%	65.13%	70.06%	76.97%	81.91%	87.59%	95.48%	103.38%	111.28%	119.67%	1.31	2.62	1.00	0.52	Basic						2.62		1.31						
普攻	樞機·勘破第二段傷害-1	共鳴解放	3	導電	Damage	攻擊	30.65%	33.16%	35.67%	39.19%	41.70%	44.59%	48.61%	52.63%	56.65%	60.92%	0.67	1.34	1.00	0.27	Basic						1.34		0.67						
普攻	樞機·勘破第二段傷害-2	共鳴解放	4	導電	Damage	攻擊	30.65%	33.16%	35.67%	39.19%	41.70%	44.59%	48.61%	52.63%	56.65%	60.92%	0.67	1.34	1.00	0.27	Basic						1.34		0.67						
普攻	樞機·勘破第二段傷害-3	共鳴解放	5	導電	Damage	攻擊	30.65%	33.16%	35.67%	39.19%	41.70%	44.59%	48.61%	52.63%	56.65%	60.92%	0.67	1.34	1.00	0.27	Basic						1.34		0.67						
普攻	樞機·勘破第二段傷害-4	共鳴解放	6	導電	Damage	攻擊	30.65%	33.16%	35.67%	39.19%	41.70%	44.59%	48.61%	52.63%	56.65%	60.92%	0.67	1.34	1.00	0.27	Basic						1.34		0.67						
普攻	樞機·勘破第三段傷害-1	共鳴解放	7	導電	Damage	攻擊	67.03%	72.52%	78.02%	85.71%	91.21%	97.53%	106.32%	115.12%	123.91%	133.25%	1.46	2.92	1.00	0.58	Basic						2.92		1.46						
普攻	樞機·勘破第三段傷害-2	共鳴解放	8	導電	Damage	攻擊	67.03%	72.52%	78.02%	85.71%	91.21%	97.53%	106.32%	115.12%	123.91%	133.25%	1.46	2.92	1.00	0.58	Basic						2.92		1.46						
共鳴技能	一相萬殊傷害-1	共鳴解放	9	導電	Damage	攻擊	24.94%	26.99%	29.04%	31.90%	33.94%	36.30%	39.57%	42.84%	46.11%	49.59%	1.00	0.50	1.00	0.12	Skill						0.50		1.00						
共鳴技能	一相萬殊傷害-2	共鳴解放	10	導電	Damage	攻擊	24.94%	26.99%	29.04%	31.90%	33.94%	36.30%	39.57%	42.84%	46.11%	49.59%	1.00	0.50	1.00	0.12	Skill						0.50		1.00						
共鳴技能	一相萬殊傷害-3	共鳴解放	11	導電	Damage	攻擊	24.94%	26.99%	29.04%	31.90%	33.94%	36.30%	39.57%	42.84%	46.11%	49.59%	1.00	0.50	1.00	0.12	Skill						0.50		1.00						
共鳴技能	一相萬殊傷害-4	共鳴解放	12	導電	Damage	攻擊	87.29%	94.45%	101.61%	111.63%	118.79%	127.02%	138.47%	149.93%	161.38%	173.55%	3.47	1.75	1.00	0.41	Skill						1.75		3.47						
共鳴技能	一相萬殊傷害-5	共鳴解放	13	導電	Damage	攻擊	87.29%	94.45%	101.61%	111.63%	118.79%	127.02%	138.47%	149.93%	161.38%	173.55%	3.47	1.75	1.00	0.41	Skill						1.75		3.47						
共鳴解放	知無定形傷害-1	共鳴解放	14	導電	Damage	攻擊	19.53%	21.13%	22.73%	24.98%	26.58%	28.42%	30.98%	33.54%	36.10%	38.83%	0.40	0.50	1.00	0.15	Liberation						0.50		0.40						
共鳴解放	知無定形傷害-2	共鳴解放	15	導電	Damage	攻擊	156.22%	169.03%	181.84%	199.77%	212.58%	227.31%	247.81%	268.30%	288.80%	310.58%	3.20	4.00	1.00	1.20	Liberation						4.00		3.20						
共鳴解放		共鳴解放	16	導電	Damage	攻擊	1635.07%	1769.14%	1903.22%	2090.92%	2225.00%	2379.19%	2593.71%	2808.23%	3022.75%	3250.68%	0.00	0.00	1.00	4.00	Liberation						0.00		0.00						
共鳴解放	思維矩陣傷害	共鳴解放		導電	Damage	攻擊	817.54%	884.57%	951.61%	1045.46%	1112.50%	1189.60%	1296.86%	1404.12%	1511.38%	1625.34%	0.00	0.00	1.00	4.00	Liberation						20.00		0.00	125	25	24			
普攻	樞機·勘破第一段傷害	共鳴解放		導電	Damage	攻擊	60.19%	65.13%	70.06%	76.97%	81.91%	87.59%	95.48%	103.38%	111.28%	119.67%	1.31	2.62	1.00	0.52	Basic						2.62		1.31						
普攻	樞機·勘破第二段傷害	共鳴解放		導電	Damage	攻擊	122.60%	132.64%	142.68%	156.76%	166.80%	178.36%	194.44%	210.52%	226.60%	243.68%	2.68	5.36	4.00	1.07	Basic						5.36		2.68						
普攻	樞機·勘破第三段傷害	共鳴解放		導電	Damage	攻擊	134.06%	145.04%	156.04%	171.42%	182.42%	195.06%	212.64%	230.24%	247.82%	266.50%	2.92	5.84	2.00	1.17	Basic						5.84		2.92						
共鳴技能	一相萬殊傷害	共鳴解放		導電	Damage	攻擊	249.40%	269.87%	290.34%	318.96%	339.40%	362.94%	395.65%	428.38%	461.09%	495.87%	9.94	5.00	5.00	1.16	Skill						5.00		9.94						
共鳴解放	知無定形傷害	共鳴解放		導電	Damage	攻擊	195.28%	211.29%	227.30%	249.73%	265.74%	284.15%	309.77%	335.38%	361.00%	388.24%	4.00	5.00	3.00	1.50	Liberation						5.00		4.00						
	洞見狀態持續時間	共鳴解放																														24			
	思維矩陣冷卻時間	共鳴解放																													25				
	一相萬殊冷卻時間	共鳴解放																													7				
變奏	正理-1	變奏技能	1	導電	Damage	攻擊	50.00%	54.10%	58.20%	63.94%	68.04%	72.76%	79.32%	85.88%	92.44%	99.41%	5.00	0.00	1.00	0.70	Intro						0.00		5.00						
變奏	正理	變奏技能		導電	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.52%	158.64%	171.76%	184.88%	198.82%	10.00	0.00	2.00	1.40	Intro						0.00		10.00						
延奏	鏈式	延奏技能		導電	Damage	攻擊	712.89%	712.89%	712.89%	712.89%	712.89%	712.89%	712.89%	712.89%	712.89%	712.89%					Outro														
共鳴解放	解裂重構傷害-1	共鳴解放	1	導電	Damage	攻擊	11.00%	11.91%	12.81%	14.07%	14.97%	16.01%	17.45%	18.90%	20.34%	21.87%	0.28	0.00	1.00	0.11	Liberation						0.00		0.28						
共鳴解放		共鳴解放	2	導電	Damage	攻擊	11.00%	11.91%	12.81%	14.07%	14.97%	16.01%	17.45%	18.90%	20.34%	21.87%	0.28	0.00	1.00	0.11	Liberation						0.00		0.28						
共鳴解放	解裂重構傷害-2	共鳴解放	3	導電	Damage	攻擊	33.00%	35.71%	38.42%	42.21%	44.91%	48.02%	52.35%	56.68%	61.01%	65.61%	0.83	0.00	1.00	0.33	Liberation						0.00		0.83						
共鳴解放	應刃傷害-1	共鳴解放	4	導電	Damage	攻擊	200.10%	216.51%	232.92%	255.89%	272.30%	291.17%	317.42%	343.68%	369.93%	397.82%	1.67	0.00	1.00	2.00	Liberation						0.00		1.67						
共鳴解放	萬方法則傷害-1	共鳴解放	5	導電	Damage	攻擊	48.15%	52.10%	56.05%	61.58%	65.53%	70.07%	76.39%	82.70%	89.02%	95.73%	0.72	0.00	1.00	0.30	Liberation						0.00		0.72						
共鳴解放	萬方法則傷害-2	共鳴解放	6	導電	Damage	攻擊	128.40%	138.93%	149.46%	164.20%	174.73%	186.84%	203.69%	220.53%	237.38%	255.28%	1.90	0.00	1.00	0.80	Liberation														
共鳴解放		共鳴解放	7	導電	Damage	攻擊	96.30%	104.20%	112.10%	123.15%	131.05%	140.13%	152.77%	165.40%	178.03%	191.46%	0.72	0.00	1.00	0.30	Liberation														
共鳴解放		共鳴解放	8	導電	Damage	攻擊	256.80%	277.86%	298.92%	328.40%	349.46%	373.67%	407.37%	441.06%	474.75%	510.55%	1.90	0.00	1.00	0.80	Liberation														
普攻		共鳴解放	9	導電	Damage	攻擊	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00	0.00	1.00	1.00	Basic														
共鳴技能		共鳴解放	10	導電	Damage	攻擊	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00	0.00	1.00	1.00	Skill														
共鳴解放	應刃傷害	共鳴解放		導電	Damage	攻擊	200.10%	216.51%	232.92%	255.89%	272.30%	291.17%	317.42%	343.68%	369.93%	397.82%	1.67	0.00	1.00	2.00	Liberation						7.00								
共鳴解放	萬方法則傷害	共鳴解放		導電	Damage	攻擊	321.00%	347.33%	373.66%	410.52%	436.85%	467.12%	509.25%	551.33%	593.46%	638.20%	4.78	0.00	5.00	2.00	Liberation						10.00								
共鳴解放	解裂重構傷害	共鳴解放		導電	Damage	攻擊	110.00%	119.06%	128.08%	140.70%	149.70%	160.08%	174.50%	188.96%	203.38%	218.70%	2.78	0.00	6.00	1.10	Liberation			30.00			5.00								
