技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
共鳴解放	頻隙迴響傷害	共鳴解放		冷凝	Damage	生命	2.05%	2.22%	2.39%	2.62%	2.79%	2.98%	3.25%	3.52%	3.79%	4.07%	0.00	0.00	1.00	0.50	Liberation						0.00		0.00						
	頻隙迴響治療量	共鳴解放		-	Healing	生命	349 +1.42%	378 +1.54%	406 +1.65%	446 +1.82%	475 +1.93%	508 +2.07%	554 +2.25%	599 +2.44%	645 +2.63%	694 +2.82%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	剎那合彌治療量	共鳴解放		-	Healing	生命	310 +1.26%	336 +1.37%	361 +1.47%	397 +1.62%	422 +1.72%	452 +1.84%	492 +2.0%	533 +2.17%	574 +2.33%	617 +2.51%	0.00	0.00	0.00	0.00	-						0.00		0.00						
變奏	覆雪流盈-1	變奏技能	1	冷凝	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	8.00	0.00	1.00	1.30	Intro						0.00		8.00						
		變奏技能	2	-	Healing	生命	75 +0.38%	82 +0.41%	88 +0.44%	96 +0.49%	103 +0.52%	110 +0.56%	119 +0.6%	129 +0.65%	139 +0.7%	150 +0.76%	0.00	0.00	0.00	0.00	-						0.00		0.00						
變奏	覆雪流盈	變奏技能		冷凝	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	8.00	0.00	1.00	1.30	Intro						10.00		8.00						
	覆雪流盈治療量	變奏技能		-	Healing	生命	75 +0.38%	82 +0.41%	88 +0.44%	96 +0.49%	103 +0.52%	110 +0.56%	119 +0.6%	129 +0.65%	139 +0.7%	150 +0.76%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	命源輸送	延奏技能																																	
	念意治療量-1	共鳴回路	1	-	Healing	生命	32 +0.16%	34 +0.18%	37 +0.19%	40 +0.21%	43 +0.22%	46 +0.23%	50 +0.25%	54 +0.28%	58 +0.3%	63 +0.32%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	念意治療量	共鳴回路		-	Healing	生命	32 +0.16%	34 +0.18%	37 +0.19%	40 +0.21%	43 +0.22%	46 +0.23%	50 +0.25%	54 +0.28%	58 +0.3%	63 +0.32%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	重擊消耗【念意】額外回復協奏能量	共鳴回路																									4.00								
	共鳴技能消耗【念意】額外回復協奏能量	共鳴回路																									8.00								
	重擊消耗【念意】額外回復共鳴能量	共鳴回路																									2.50								
