種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第二段傷害	常態攻擊		湮滅	Damage	攻擊	42.67%	46.17%	49.67%	54.57%	58.07%	62.09%	67.69%	73.29%	78.89%	84.84%	1.08	3.90	1.00	0.64	Basic						3.90		1.08						
普攻	第三段傷害	常態攻擊		湮滅	Damage	攻擊	56.00%	60.60%	65.20%	71.62%	76.22%	81.50%	88.84%	96.18%	103.54%	111.34%	5.60	13.00	2.00	0.84	Basic						13.00		5.60						
普攻	第四段傷害	常態攻擊		湮滅	Damage	攻擊	136.00%	147.16%	158.31%	173.92%	185.07%	197.90%	215.74%	233.58%	251.43%	270.39%	2.96	8.10	1.00	2.04	Basic						8.10		2.96						
重擊	重擊攻擊傷害	常態攻擊		湮滅	Damage	攻擊	110.84%	119.93%	129.01%	141.74%	150.83%	161.28%	175.82%	190.36%	204.90%	220.35%	4.66	3.46	1.00	1.40	Heavy			30.00			3.46		4.66						30.00%
	重擊時傷害減免	常態攻擊																																	30.00%
普攻	後發制人傷害	常態攻擊		湮滅	Damage	防禦	39.59%	42.84%	46.08%	50.63%	53.87%	57.61%	62.80%	67.99%	73.19%	78.70%	3.46	5.00	1.00	0.40	Basic						5.00		3.46						
普攻	空中攻擊傷害	常態攻擊		湮滅	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.51	1.00	1.00	0.74	Basic			30.00			1.00		0.51						
普攻	閃避反擊傷害	常態攻擊		湮滅	Damage	攻擊	125.00%	135.25%	145.50%	159.85%	170.10%	181.89%	198.29%	214.69%	231.09%	248.52%	4.97	6.93	1.00	1.50	Basic														
共鳴技能		共鳴技能	1	湮滅	Damage	防禦	67.86%	73.43%	78.99%	86.78%	92.35%	98.75%	107.65%	116.55%	125.46%	134.92%	10.00	0.00	1.00	2.00	Skill														
		共鳴技能	2	-	Healing	防禦	950 +45.0%	1064 +46.8%	1187 +48.6%	1330 +51.3%	1501 +54.9%	1662 +58.5%	1691 +65.25%	1729 +72.9%	1757 +81.0%	1805 +94.5%	0.00	0.00	1.00	0.00	-														
共鳴技能	固若金湯	共鳴技能		湮滅	Damage	防禦	67.86%	73.43%	78.99%	86.78%	92.35%	98.75%	107.65%	116.55%	125.46%	134.92%	10.00	0.00	1.00	2.00	Skill						15.00				15				
	固若金湯-回復生命值	共鳴技能																																	
	磐岩護壁減傷	共鳴技能																																15.00%	
共鳴解放	不動如山-1	共鳴解放	1	湮滅	Damage	防禦	226.20%	244.75%	263.30%	289.27%	307.82%	329.15%	358.83%	388.50%	418.18%	449.71%	0.00	0.00	1.00	4.00	Liberation														
共鳴解放	不動如山	共鳴解放		湮滅	Damage	防禦	226.20%	244.75%	263.30%	289.27%	307.82%	329.15%	358.83%	388.50%	418.18%	449.71%	0.00	0.00	1.00	4.00	Liberation						20.00			125	16				
變奏	攜攻守陣-1	變奏技能	1	湮滅	Damage	攻擊	105.00%	113.61%	122.22%	134.28%	142.89%	152.79%	166.57%	180.34%	194.12%	208.76%	10.00	0.00	1.00	1.00	Intro														
變奏	攜攻守陣	變奏技能		湮滅	Damage	攻擊	105.00%	113.61%	122.22%	134.28%	142.89%	152.79%	166.57%	180.34%	194.12%	208.76%	10.00	0.00	1.00	1.00	Intro														
	千鈞	延奏技能																																	
普攻		共鳴回路	1	湮滅	Damage	攻擊	105.00%	113.61%	122.22%	134.28%	142.89%	152.79%	166.57%	180.34%	194.12%	208.76%	1.33	10.00	1.00	0.33	Basic														
普攻	御反之隙第一段傷害-1	共鳴回路	2	湮滅	Damage	防禦	43.36%	46.92%	50.47%	55.45%	59.00%	63.09%	68.78%	74.47%	80.16%	86.20%	3.46	5.00	1.00	0.52	Basic														
普攻	御反之隙第二段傷害-1	共鳴回路	3	湮滅	Damage	防禦	55.80%	60.38%	64.95%	71.36%	75.93%	81.19%	88.51%	95.83%	103.16%	110.93%	3.46	5.00	1.00	0.64	Basic														
普攻	御反之隙第三段傷害-1	共鳴回路	4	湮滅	Damage	防禦	73.14%	79.14%	85.14%	93.53%	99.53%	106.43%	116.02%	125.62%	135.22%	145.41%	3.46	5.00	1.00	1.40	Basic														
普攻		共鳴回路	5	湮滅	Damage	防禦	39.59%	42.84%	46.08%	50.63%	53.87%	57.61%	62.80%	67.99%	73.19%	78.70%	3.46	5.00	1.00	0.40	Basic														
普攻		共鳴回路	6	湮滅	Damage	防禦	39.59%	42.84%	46.08%	50.63%	53.87%	57.61%	62.80%	67.99%	73.19%	78.70%	3.46	5.00	1.00	0.40	Basic														
	御反之隙第一段護盾	共鳴回路					300 + 11.25%	336 + 11.7%	375 + 12.15%	420 + 12.82%	474 + 13.72%	525 + 14.62%	534 + 16.31%	546 + 18.22%	555 + 20.25%	570 + 23.62%																18			
	御反之隙第二段護盾	共鳴回路					450 + 16.87%	504 + 17.55%	562 + 18.22%	630 + 19.23%	711 + 20.58%	787 + 21.93%	801 + 24.46%	819 + 27.33%	832 + 30.37%	855 + 35.43%																18			
	御反之隙第三段護盾	共鳴回路					750 + 28.12%	840 + 29.25%	937 + 30.37%	1050 + 32.06%	1185 + 34.31%	1312 + 36.56%	1335 + 40.78%	1365 + 45.56%	1387 + 50.62%	1425 + 59.06%																18			
普攻	御反之隙第一段傷害	共鳴回路		湮滅	Damage	防禦	43.36%	46.92%	50.47%	55.45%	59.00%	63.09%	68.78%	74.47%	80.16%	86.20%	3.46	5.00	1.00	0.52	Basic														
普攻	御反之隙第二段傷害	共鳴回路		湮滅	Damage	防禦	55.80%	60.38%	64.95%	71.36%	75.93%	81.19%	88.51%	95.83%	103.16%	110.93%	3.46	5.00	1.00	0.64	Basic						5.00		3.46						
普攻	御反之隙第三段傷害	共鳴回路		湮滅	Damage	防禦	73.14%	79.14%	85.14%	93.53%	99.53%	106.43%	116.02%	125.62%	135.22%	145.41%	3.46	5.00	1.00	1.40	Basic						5.00		3.46						
