技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
共鳴技能		常態攻擊	11	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.24	Skill						0.00		2.00						
共鳴技能		常態攻擊	12	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.24	Skill						0.00		2.00						
共鳴技能		常態攻擊	13	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.24	Skill						0.00		2.00						
共鳴技能		常態攻擊	14	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.24	Skill						0.00		2.00						
共鳴技能		常態攻擊	15	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.24	Skill						0.00		2.00						
共鳴技能		常態攻擊	16	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.24	Skill						0.00		2.00						
共鳴技能		常態攻擊	17	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.24	Skill						0.00		2.00						
共鳴技能		常態攻擊	18	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.24	Skill						0.00		2.00						
重擊	瞄準傷害-1	常態攻擊	19	氣動	Damage	攻擊	18.00%	19.48%	20.96%	23.02%	24.50%	26.20%	28.56%	30.92%	33.28%	35.79%	0.45	1.44	1.00	0.14	Heavy						1.44		0.45						
普攻	空中攻擊-1	常態攻擊	20	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	0.41	1.33	1.00	0.13	Basic						1.33		0.41						
普攻		常態攻擊	21	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	0.41	1.33	1.00	0.13	Basic						1.33		0.41						
普攻		常態攻擊	22	氣動	Damage	攻擊	16.00%	17.32%	18.63%	20.47%	21.78%	23.29%	25.39%	27.48%	29.58%	31.81%	0.50	1.60	1.00	0.16	Basic						1.60		0.50						
普攻		常態攻擊	23	氣動	Damage	攻擊	4.00%	4.33%	4.66%	5.12%	5.45%	5.83%	6.35%	6.87%	7.40%	7.96%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	24	氣動	Damage	攻擊	4.00%	4.33%	4.66%	5.12%	5.45%	5.83%	6.35%	6.87%	7.40%	7.96%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	25	氣動	Damage	攻擊	26.67%	28.86%	31.04%	34.11%	36.29%	38.81%	42.31%	45.80%	49.30%	53.02%	0.83	2.66	1.00	0.27	Basic						2.66		0.83						
普攻		常態攻擊	26	氣動	Damage	攻擊	6.67%	7.22%	7.76%	8.53%	9.08%	9.71%	10.58%	11.45%	12.33%	13.26%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	27	氣動	Damage	攻擊	6.67%	7.22%	7.76%	8.53%	9.08%	9.71%	10.58%	11.45%	12.33%	13.26%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
重擊		常態攻擊	28	氣動	Damage	攻擊	18.00%	19.48%	20.96%	23.02%	24.50%	26.20%	28.56%	30.92%	33.28%	35.79%	0.45	1.44	1.00	0.14	Heavy						1.44		0.45						
普攻		常態攻擊	29	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	0.41	1.33	1.00	0.13	Basic						1.33		0.41						
普攻		常態攻擊	30	氣動	Damage	攻擊	7.50%	8.12%	8.73%	9.60%	10.21%	10.92%	11.90%	12.89%	13.87%	14.92%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	31	氣動	Damage	攻擊	7.50%	8.12%	8.73%	9.60%	10.21%	10.92%	11.90%	12.89%	13.87%	14.92%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	32	氣動	Damage	攻擊	24.00%	25.97%	27.94%	30.70%	32.66%	34.93%	38.08%	41.22%	44.37%	47.72%	0.75	2.40	1.00	0.30	Basic						2.40		0.75						
普攻		常態攻擊	33	氣動	Damage	攻擊	6.00%	6.50%	6.99%	7.68%	8.17%	8.74%	9.52%	10.31%	11.10%	11.93%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	34	氣動	Damage	攻擊	6.00%	6.50%	6.99%	7.68%	8.17%	8.74%	9.52%	10.31%	11.10%	11.93%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	35	氣動	Damage	攻擊	24.00%	25.97%	27.94%	30.70%	32.66%	34.93%	38.08%	41.22%	44.37%	47.72%	0.75	2.40	1.00	0.24	Basic						2.40		0.75						
普攻		常態攻擊	36	氣動	Damage	攻擊	6.00%	6.50%	6.99%	7.68%	8.17%	8.74%	9.52%	10.31%	11.10%	11.93%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	37	氣動	Damage	攻擊	6.00%	6.50%	6.99%	7.68%	8.17%	8.74%	9.52%	10.31%	11.10%	11.93%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	38	氣動	Damage	攻擊	25.34%	27.42%	29.49%	32.40%	34.48%	36.87%	40.19%	43.51%	46.84%	50.37%	0.79	2.53	1.00	0.25	Basic						2.53		0.79						
普攻		常態攻擊	39	氣動	Damage	攻擊	6.34%	6.86%	7.38%	8.10%	8.62%	9.22%	10.05%	10.88%	11.71%	12.60%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	40	氣動	Damage	攻擊	6.34%	6.86%	7.38%	8.10%	8.62%	9.22%	10.05%	10.88%	11.71%	12.60%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	41	氣動	Damage	攻擊	25.34%	27.42%	29.49%	32.40%	34.48%	36.87%	40.19%	43.51%	46.84%	50.37%	0.79	2.53	1.00	0.25	Basic						2.53		0.79						
普攻		常態攻擊	42	氣動	Damage	攻擊	6.34%	6.86%	7.38%	8.10%	8.62%	9.22%	10.05%	10.88%	11.71%	12.60%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	43	氣動	Damage	攻擊	6.34%	6.86%	7.38%	8.10%	8.62%	9.22%	10.05%	10.88%	11.71%	12.60%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻	閃避反擊傷害-1	常態攻擊	44	氣動	Damage	攻擊	107.70%	116.54%	125.37%	137.73%	146.56%	156.72%	170.85%	184.98%	199.11%	214.12%	2.45	3.81	1.00	1.50	Basic						3.81		2.45						
普攻		常態攻擊	45	氣動	Damage	攻擊	107.70%	116.54%	125.37%	137.73%	146.56%	156.72%	170.85%	184.98%	199.11%	214.12%	2.45	3.81	1.00	1.50	Basic						3.81		2.45						
普攻		常態攻擊	46	氣動	Damage	攻擊	26.93%	29.14%	31.35%	34.44%	36.64%	39.18%	42.72%	46.25%	49.78%	53.53%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	47	氣動	Damage	攻擊	26.93%	29.14%	31.35%	34.44%	36.64%	39.18%	42.72%	46.25%	49.78%	53.53%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
重擊	瞄準完全蓄力傷害-1	常態攻擊	48	氣動	Damage	攻擊	40.50%	43.83%	47.15%	51.80%	55.12%	58.94%	64.25%	69.56%	74.88%	80.52%	3.00	3.24	1.00	0.32	Heavy						3.24		3.00						
普攻	第一段傷害	常態攻擊		氣動	Damage	攻擊	16.00%	17.32%	18.63%	20.47%	21.78%	23.29%	25.39%	27.48%	29.58%	31.81%	0.50	1.60	1.00	0.16	Basic						1.60		0.50						
普攻	第二段傷害	常態攻擊		氣動	Damage	攻擊	26.67%	28.86%	31.04%	34.11%	36.29%	38.81%	42.31%	45.80%	49.30%	53.02%	0.83	2.66	1.00	0.27	Basic														
普攻	第三段傷害	常態攻擊		氣動	Damage	攻擊	48.00%	51.94%	55.88%	61.40%	65.32%	69.86%	76.16%	82.44%	88.74%	95.44%	1.50	4.80	2.00	0.48	Basic														
普攻	第四段傷害	常態攻擊		氣動	Damage	攻擊	50.68%	54.84%	58.98%	64.80%	68.96%	73.74%	80.38%	87.02%	93.68%	100.74%	1.58	5.06	2.00	0.51	Basic														
普攻	第五段傷害	常態攻擊		氣動	Damage	攻擊	90.40%	97.82%	105.23%	115.61%	123.02%	131.55%	143.41%	155.27%	167.13%	179.73%	2.82	9.04	1.00	0.90	Basic														
普攻	空中攻擊	常態攻擊		氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	0.41	1.33	1.00	0.13	Basic														
重擊	瞄準傷害	常態攻擊		氣動	Damage	攻擊	18.00%	19.48%	20.96%	23.02%	24.50%	26.20%	28.56%	30.92%	33.28%	35.79%	0.45	1.44	1.00	0.14	Heavy														
重擊	瞄準完全蓄力傷害	常態攻擊		氣動	Damage	攻擊	40.50%	43.83%	47.15%	51.80%	55.12%	58.94%	64.25%	69.56%	74.88%	80.52%	3.00	3.24	1.00	0.32	Heavy														
普攻	閃避反擊傷害	常態攻擊		氣動	Damage	攻擊	107.70%	116.54%	125.37%	137.73%	146.56%	156.72%	170.85%	184.98%	199.11%	214.12%	2.45	3.81	1.00	1.50	Basic														
共鳴技能	移位戲法-霧化彈傷害-1	共鳴技能	1	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	1.50	1.00	0.33	Skill														
共鳴技能	移位戲法-霧化彈傷害	共鳴技能		氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	1.50	1.00	0.33	Skill						15.00				10				
	移位戲法-霧化幻影生命值	共鳴技能																														8			
共鳴解放	霧裡觀花-1	共鳴解放	1	氣動	Damage	攻擊	200.00%	216.40%	232.80%	255.76%	272.16%	291.02%	317.26%	343.50%	369.74%	397.62%	0.00	0.00	1.00	4.00	Liberation														
共鳴解放	霧裡觀花	共鳴解放		氣動	Damage	攻擊	200.00%	216.40%	232.80%	255.76%	272.16%	291.02%	317.26%	343.50%	369.74%	397.62%	0.00	0.00	1.00	4.00	Liberation						20.00			150	20				
	虛實之門攻擊提升	共鳴解放																																	
變奏	虛晃一槍-1	變奏技能	1	氣動	Damage	攻擊	33.34%	36.07%	38.80%	42.63%	45.36%	48.51%	52.88%	57.25%	61.63%	66.27%	10.00	0.00	1.00	0.31	Intro														
變奏		變奏技能	2	氣動	Damage	攻擊	33.34%	36.07%	38.80%	42.63%	45.36%	48.51%	52.88%	57.25%	61.63%	66.27%	0.00	0.00	1.00	0.31	Intro														
變奏		變奏技能	3	氣動	Damage	攻擊	33.34%	36.07%	38.80%	42.63%	45.36%	48.51%	52.88%	57.25%	61.63%	66.27%	0.00	0.00	1.00	0.31	Intro														
變奏	虛晃一槍	變奏技能		氣動	Damage	攻擊	100.02%	108.21%	116.40%	127.89%	136.08%	145.53%	158.64%	171.75%	184.89%	198.81%	30.00	0.00	3.00	0.93	Intro						10.00								
	霧解	延奏技能																																	
共鳴技能	霧色掩護-霧化子彈傷害-1	共鳴回路	1	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	1.00	1.50	1.00	0.10	Skill														
共鳴技能	霧色掩護-霧化子彈傷害	共鳴回路		氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	1.00	1.50	1.00	0.10	Skill														
	霧色掩護-移動速度提升	共鳴回路																																	
