種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
共鳴技能	朔雪永凍	共鳴技能		冷凝	Damage	攻擊	181.00%	195.85%	210.69%	231.47%	246.31%	263.38%	287.13%	310.87%	334.62%	359.85%	10.00	0.00	1.00	1.00	Skill						15.00		10.00		10				
共鳴解放	焦瞑凍土-1	共鳴解放	1	冷凝	Damage	攻擊	407.16%	440.55%	473.94%	520.68%	554.07%	592.46%	645.88%	699.30%	752.72%	809.48%	0.00	0.00	1.00	3.00	Liberation						0.00		0.00						
共鳴解放	焦瞑凍土	共鳴解放		冷凝	Damage	攻擊	407.16%	440.55%	473.94%	520.68%	554.07%	592.46%	645.88%	699.30%	752.72%	809.48%	0.00	0.00	1.00	3.00	Liberation						20.00		0.00	100	16				
變奏	凜刺-1	變奏技能	1	冷凝	Damage	攻擊	70.00%	75.74%	81.48%	89.52%	95.26%	101.86%	111.05%	120.23%	129.41%	139.17%	10.00	0.00	1.00	0.80	Intro						0.00		10.00						
變奏	凜刺	變奏技能		冷凝	Damage	攻擊	70.00%	75.74%	81.48%	89.52%	95.26%	101.86%	111.05%	120.23%	129.41%	139.17%	10.00	0.00	1.00	0.80	Intro						10.00		10.00						
重擊	爆裂傷害-1	共鳴回路	1	冷凝	Damage	攻擊	93.70%	101.39%	109.07%	119.83%	127.51%	136.35%	148.64%	160.93%	173.23%	186.29%	2.34	7.50	1.00	0.94	Heavy						7.50		2.34						
共鳴技能	冰棱爆炸傷害-1	共鳴回路	2	冷凝	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	7.00	0.00	1.00	1.00	Skill						0.00		7.00						
共鳴技能	冰川爆炸傷害-1	共鳴回路	3	冷凝	Damage	攻擊	70.00%	75.74%	81.48%	89.52%	95.26%	101.86%	111.05%	120.23%	129.41%	139.17%	7.00	0.00	1.00	1.00	Skill						0.00		7.00						
共鳴技能	冰棘爆炸傷害-1	共鳴回路	4	冷凝	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.80	Skill						0.00		2.00						
重擊	爆裂傷害	共鳴回路		冷凝	Damage	攻擊	187.40%	202.78%	218.14%	239.66%	255.02%	272.70%	297.28%	321.86%	346.46%	372.58%	4.68	15.00	2.00	1.87	Heavy						15.00		4.68						
共鳴技能	冰川爆炸傷害	共鳴回路		冷凝	Damage	攻擊	70.00%	75.74%	81.48%	89.52%	95.26%	101.86%	111.05%	120.23%	129.41%	139.17%	7.00	0.00	1.00	1.00	Skill						15.00		7.00			5			
共鳴技能	冰棱爆炸傷害	共鳴回路		冷凝	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	7.00	0.00	1.00	1.00	Skill						15.00		7.00			5			
共鳴技能	冰棘爆炸傷害	共鳴回路		冷凝	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.80	Skill						0.00		2.00			8			
