技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	【鏡之環】反射聖輝傷害-1	共鳴技能	2	衍射	Damage	攻擊	7.50%	8.12%	8.73%	9.60%	10.21%	10.92%	11.90%	12.89%	13.87%	14.92%	0.00	0.00	1.00	0.0450		Basic						0.00		0.00						
普攻	夏彌爾之星第一段傷害-1	共鳴技能	3	衍射	Damage	攻擊	29.85%	32.30%	34.75%	38.18%	40.62%	43.44%	47.36%	51.27%	55.19%	59.35%	1.00	1.99	1.00	0.3184		Basic						1.99		1.00						
普攻	夏彌爾之星第二段傷害-1	共鳴技能	4	衍射	Damage	攻擊	20.00%	21.64%	23.28%	25.58%	27.22%	29.11%	31.73%	34.35%	36.98%	39.77%	0.67	1.34	1.00	0.2134		Basic						1.34		0.67						
普攻	夏彌爾之星第三段傷害-1	共鳴技能	5	衍射	Damage	攻擊	14.55%	15.75%	16.94%	18.61%	19.80%	21.18%	23.09%	24.99%	26.90%	28.93%	0.49	0.97	1.00	0.1552		Basic						0.97		0.49						
共鳴技能	追尋光芒之所	共鳴技能		衍射	Damage	攻擊	63.00%	68.18%	73.34%	80.58%	85.74%	91.68%	99.94%	108.22%	116.48%	125.26%	1.14	2.28	2.00	0.6720		Skill						2.28		1.14		12				
普攻	【鏡之環】反射聖輝傷害	共鳴技能		衍射	Damage	攻擊	15.00%	16.24%	17.46%	19.20%	20.42%	21.84%	23.80%	25.78%	27.74%	29.84%	0.00	0.00	2.00	0.0900		Basic						0.00		0.00						
普攻	夏彌爾之星第一段傷害	共鳴技能		衍射	Damage	攻擊	29.85%	32.30%	34.75%	38.18%	40.62%	43.44%	47.36%	51.27%	55.19%	59.35%	1.00	1.99	1.00	0.3184		Basic						1.99		1.00						
普攻	夏彌爾之星第二段傷害	共鳴技能		衍射	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.22%	63.46%	68.70%	73.96%	79.54%	1.34	2.68	2.00	0.4268		Basic						2.68		1.34						
普攻	夏彌爾之星第三段傷害	共鳴技能		衍射	Damage	攻擊	87.30%	94.50%	101.64%	111.66%	118.80%	127.08%	138.54%	149.94%	161.40%	173.58%	2.94	5.82	6.00	0.9312		Basic						5.82		2.94						
共鳴解放	啟明之誓願-1	共鳴解放	1	衍射	Damage	攻擊	202.00%	218.57%	235.13%	258.32%	274.89%	293.94%	320.44%	346.94%	373.44%	401.60%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放		共鳴解放	2	衍射	Damage	攻擊	717.10%	775.91%	834.71%	917.03%	975.83%	1043.46%	1137.54%	1231.62%	1325.71%	1425.67%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放	啟明之誓願-赦罪-1	共鳴解放	3	衍射	Damage	攻擊	1171.60%	1267.68%	1363.75%	1498.25%	1594.32%	1704.80%	1858.51%	2012.23%	2165.94%	2329.26%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放		共鳴解放	4	衍射	Damage	攻擊	383.80%	415.28%	446.75%	490.81%	522.28%	558.47%	608.83%	659.18%	709.54%	763.04%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放	啟明之誓願	共鳴解放		衍射	Damage	攻擊	202.00%	218.57%	235.13%	258.32%	274.89%	293.94%	320.44%	346.94%	373.44%	401.60%	0.00	0.00	1.00	4.0000		Liberation						20.00		0.00	125	25				
共鳴解放	啟明之誓願-赦罪	共鳴解放		衍射	Damage	攻擊	717.10%	775.91%	834.71%	917.03%	975.83%	1043.46%	1137.54%	1231.62%	1325.71%	1425.67%	0.00	0.00	1.00	4.0000		Liberation						20.00		0.00	125	25				
變奏	金色恩典-1	變奏技能	1	衍射	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	10.00	0.00	1.00	0.8000		Intro						0.00		10.00						
變奏	金色恩典	變奏技能		衍射	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	10.00	0.00	1.00	0.8000		Intro						10.00		10.00						
延奏	傾聽之心-赦罪-1	延奏技能	1	衍射	Damage	攻擊	234.50%	234.50%	234.50%	234.50%	234.50%	234.50%	234.50%	234.50%	234.50%	234.50%	0.00	0.00	1.00	0.1250		Outro						0.00		0.00						
延奏	傾聽之心-1	延奏技能	2	衍射	Damage	攻擊	66.06%	66.06%	66.06%	66.06%	66.06%	66.06%	66.06%	66.06%	66.06%	66.06%	0.00	0.00	1.00	0.1250		Outro						0.00		0.00						
延奏	傾聽之心	延奏技能		衍射	Damage	攻擊	528.48%	528.48%	528.48%	528.48%	528.48%	528.48%	528.48%	528.48%	528.48%	528.48%	0.00	0.00	8.00	1.0000		Outro														
延奏	傾聽之心-赦罪	延奏技能		衍射	Damage	攻擊	1876.00%	1876.00%	1876.00%	1876.00%	1876.00%	1876.00%	1876.00%	1876.00%	1876.00%	1876.00%	0.00	0.00	8.00	1.0000		Outro														
重擊	重擊·星輝傷害-1	共鳴回路	1	衍射	Damage	攻擊	41.59%	45.00%	48.41%	53.19%	56.60%	60.52%	65.98%	71.43%	76.89%	82.69%	1.53	1.38	1.00	0.2200		Heavy						1.38		1.53						
重擊		共鳴回路	2	衍射	Damage	攻擊	92.75%	100.35%	107.95%	118.60%	126.21%	134.95%	147.12%	159.29%	171.45%	184.38%	1.53	1.38	1.00	0.2200		Heavy						1.38		1.53						
重擊	聖禱赦罪傷害-1	共鳴回路	3	衍射	Damage	攻擊	321.00%	347.33%	373.65%	410.50%	436.82%	467.09%	509.21%	551.32%	593.44%	638.19%	10.00	0.00	1.00	2.0000		Heavy						0.00		10.00						
共鳴技能	顯明告解傷害-1	共鳴回路	4	衍射	Damage	攻擊	94.50%	102.25%	110.00%	120.85%	128.60%	137.51%	149.91%	162.31%	174.71%	187.88%	18.00	0.00	1.00	2.0000		Skill						0.00		18.00						
重擊	聖禱赦罪傷害	共鳴回路		衍射	Damage	攻擊	321.00%	347.33%	373.65%	410.50%	436.82%	467.09%	509.21%	551.32%	593.44%	638.19%	10.00	0.00	1.00	2.0000		Heavy														
共鳴技能	顯明告解傷害	共鳴回路		衍射	Damage	攻擊	94.50%	102.25%	110.00%	120.85%	128.60%	137.51%	149.91%	162.31%	174.71%	187.88%	18.00	0.00	1.00	2.0000		Skill														
重擊	重擊·星輝傷害	共鳴回路		衍射	Damage	攻擊	124.77%	135.00%	145.23%	159.57%	169.80%	181.56%	197.94%	214.29%	230.67%	248.07%	4.59	4.14	3.00	0.6600		Heavy														
