種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	咩咩傷害	常態攻擊		熱熔	Damage	攻擊	120.00%	129.84%	139.67%	153.45%	163.29%	174.61%	190.35%	206.10%	221.84%	238.57%	300.00%	600.00%	100.00%	96.00%	Basic						6.00		3.00						
重擊	重擊傷害	常態攻擊		熱熔	Damage	攻擊	94.10%	101.81%	109.53%	120.33%	128.05%	136.92%	149.27%	161.61%	173.96%	187.08%	235.00%	470.00%	100.00%	75.28%	Heavy			25.00			4.70		2.35						
普攻	空中攻擊	常態攻擊		熱熔	Damage	攻擊	62.00%	67.08%	72.16%	79.28%	84.36%	90.21%	98.35%	106.48%	114.61%	123.26%	51.00%	100.00%	100.00%	49.60%	Basic			30.00			1.00		0.51						
普攻	閃避反擊傷害	常態攻擊		熱熔	Damage	攻擊	126.68%	137.08%	147.46%	162.02%	172.40%	184.36%	200.98%	217.60%	234.22%	251.88%	316.00%	332.00%	200.00%	150.00%	Basic						3.32		3.16						
共鳴技能	熱力羊咩傷害-1	共鳴技能	1	熱熔	Damage	攻擊	38.53%	41.69%	44.85%	49.28%	52.44%	56.07%	61.13%	66.18%	71.24%	76.61%	1.91	0.00	1.00	0.25	Skill						0.00		1.91						
共鳴技能	熱情歡迎式傷害-1	共鳴技能	2	熱熔	Damage	攻擊	170.60%	184.58%	198.57%	218.16%	232.15%	248.24%	270.62%	293.00%	315.38%	339.16%	0.75	1.51	1.00	0.60	Skill						1.51		0.75						
共鳴技能	熱力羊咩傷害	共鳴技能		熱熔	Damage	攻擊	308.24%	333.52%	358.80%	394.24%	419.52%	448.56%	489.04%	529.44%	569.92%	612.88%	15.28	0	8	2	Skill						15.00		15.28		10				
共鳴技能	熱情歡迎式傷害	共鳴技能		熱熔	Damage	攻擊	170.60%	184.58%	198.57%	218.16%	232.15%	248.24%	270.62%	293.00%	315.38%	339.16%	75.00%	151.00%	100.00%	60.48%	Skill						5.00		0.75						
普攻	黑咩·胡鬧第一段傷害-1	共鳴解放	1	熱熔	Damage	攻擊	45.36%	49.08%	52.80%	58.01%	61.73%	66.01%	71.96%	77.91%	83.86%	90.18%	0.66	1.33	1.00	0.21	Basic						1.33		0.66						
普攻	黑咩·胡鬧第一段傷害-2	共鳴解放	2	熱熔	Damage	攻擊	45.36%	49.08%	52.80%	58.01%	61.73%	66.01%	71.96%	77.91%	83.86%	90.18%	0.66	1.33	1.00	0.21	Basic						1.33		0.66						
普攻	黑咩·胡鬧第二段傷害-1	共鳴解放	3	熱熔	Damage	攻擊	28.37%	30.70%	33.02%	36.28%	38.61%	41.28%	45.00%	48.72%	52.45%	56.40%	0.41	0.83	1.00	0.13	Basic						0.83		0.41						
普攻	黑咩·胡鬧第二段傷害-2	共鳴解放	4	熱熔	Damage	攻擊	28.37%	30.70%	33.02%	36.28%	38.61%	41.28%	45.00%	48.72%	52.45%	56.40%	0.41	0.83	1.00	0.13	Basic						0.83		0.41						
普攻	黑咩·胡鬧第二段傷害-3	共鳴解放	5	熱熔	Damage	攻擊	28.37%	30.70%	33.02%	36.28%	38.61%	41.28%	45.00%	48.72%	52.45%	56.40%	0.41	0.83	1.00	0.13	Basic						0.83		0.41						
普攻	黑咩·胡鬧第三段傷害-1	共鳴解放	6	熱熔	Damage	攻擊	33.19%	35.92%	38.64%	42.45%	45.17%	48.30%	52.65%	57.01%	61.36%	65.99%	0.48	0.97	1.00	0.16	Basic						0.97		0.48						
普攻	黑咩·胡鬧第三段傷害-2	共鳴解放	7	熱熔	Damage	攻擊	33.19%	35.92%	38.64%	42.45%	45.17%	48.30%	52.65%	57.01%	61.36%	65.99%	0.48	0.97	1.00	0.16	Basic						0.97		0.48						
普攻	黑咩·胡鬧第三段傷害-3	共鳴解放	8	熱熔	Damage	攻擊	33.19%	35.92%	38.64%	42.45%	45.17%	48.30%	52.65%	57.01%	61.36%	65.99%	0.48	0.97	1.00	0.16	Basic						0.97		0.48						
普攻	黑咩·胡鬧第三段傷害-4	共鳴解放	9	熱熔	Damage	攻擊	33.19%	35.92%	38.64%	42.45%	45.17%	48.30%	52.65%	57.01%	61.36%	65.99%	0.48	0.97	1.00	0.16	Basic						0.97		0.48						
普攻	黑咩·胡鬧第四段傷害-1	共鳴解放	10	熱熔	Damage	攻擊	97.59%	105.59%	113.59%	124.79%	132.79%	142.00%	154.80%	167.60%	180.40%	194.01%	1.43	2.86	1.00	0.46	Basic						2.86		1.43						
普攻	黑咩·胡鬧第四段傷害-2	共鳴解放	11	熱熔	Damage	攻擊	97.59%	105.59%	113.59%	124.79%	132.79%	142.00%	154.80%	167.60%	180.40%	194.01%	1.43	2.86	1.00	0.46	Basic						2.86		1.43						
普攻	黑咩·胡鬧第四段傷害-3	共鳴解放	12	熱熔	Damage	攻擊	97.59%	105.59%	113.59%	124.79%	132.79%	142.00%	154.80%	167.60%	180.40%	194.01%	1.43	2.86	1.00	0.46	Basic						2.86		1.43						
重擊	黑咩·重擊傷害-1	共鳴解放	13	熱熔	Damage	攻擊	109.44%	118.42%	127.39%	139.96%	148.93%	159.25%	173.61%	187.97%	202.32%	217.58%	1.60	3.21	1.00	0.51	Heavy						3.21		1.60						
共鳴技能	黑咩·狂熱傷害-1	共鳴解放	14	熱熔	Damage	攻擊	31.85%	34.46%	37.07%	40.72%	43.34%	46.34%	50.52%	54.70%	58.88%	63.32%	1.64	2.00	1.00	0.50	Skill						2.00		1.64						
共鳴技能		共鳴解放	15	熱熔	Damage	攻擊	31.85%	34.46%	37.07%	40.72%	43.34%	46.34%	50.52%	54.70%	58.88%	63.32%	1.64	2.00	1.00	0.50	Skill						2.00		1.64						
共鳴技能		共鳴解放	16	熱熔	Damage	攻擊	31.85%	34.46%	37.07%	40.72%	43.34%	46.34%	50.52%	54.70%	58.88%	63.32%	1.64	2.00	1.00	0.50	Skill						2.00		1.64						
普攻	黑咩·閃避反擊傷害-1	共鳴解放	17	熱熔	Damage	攻擊	33.19%	35.92%	38.64%	42.45%	45.17%	48.30%	52.65%	57.01%	61.36%	65.99%	0.86	0.97	1.00	0.38	Basic						0.97		0.86						
普攻	黑咩·閃避反擊傷害-2	共鳴解放	18	熱熔	Damage	攻擊	33.19%	35.92%	38.64%	42.45%	45.17%	48.30%	52.65%	57.01%	61.36%	65.99%	0.86	0.97	1.00	0.38	Basic						0.97		0.86						
普攻	黑咩·閃避反擊傷害-3	共鳴解放	19	熱熔	Damage	攻擊	33.19%	35.92%	38.64%	42.45%	45.17%	48.30%	52.65%	57.01%	61.36%	65.99%	0.86	0.97	1.00	0.38	Basic						0.97		0.86						
普攻	黑咩·閃避反擊傷害-4	共鳴解放	20	熱熔	Damage	攻擊	33.19%	35.92%	38.64%	42.45%	45.17%	48.30%	52.65%	57.01%	61.36%	65.99%	0.86	0.97	1.00	0.38	Basic						0.97		0.86						
普攻	黑咩·胡鬧第一段傷害	共鳴解放		熱熔	Damage	攻擊	90.72%	98.16%	105.60%	116.02%	123.46%	132.02%	143.92%	155.82%	167.72%	180.36%	132.00%	266.00%	200.00%	42.64%	Basic						2.66		1.32						
普攻	黑咩·胡鬧第二段傷害	共鳴解放		熱熔	Damage	攻擊	85.11%	92.10%	99.06%	108.84%	115.83%	123.84%	135.00%	146.16%	157.35%	169.20%	123.00%	249.00%	300.00%	39.99%	Basic						2.49		1.23						
普攻	黑咩·胡鬧第三段傷害	共鳴解放		熱熔	Damage	攻擊	132.76%	143.68%	154.56%	169.80%	180.68%	193.20%	210.60%	228.04%	245.44%	263.96%	192.00%	388.00%	400.00%	62.40%	Basic						3.88		1.92						
普攻	黑咩·胡鬧第四段傷害	共鳴解放		熱熔	Damage	攻擊	292.77%	316.77%	340.77%	374.37%	398.37%	426.00%	464.40%	502.80%	541.20%	582.03%	429.00%	858.00%	300.00%	137.58%	Basic						8.58		4.29						
重擊	黑咩·重擊傷害	共鳴解放		熱熔	Damage	攻擊	109.44%	118.42%	127.39%	139.96%	148.93%	159.25%	173.61%	187.97%	202.32%	217.58%	160.00%	321.00%	100.00%	51.44%	Heavy			25.00			3.21		1.60						
共鳴技能	黑咩·狂熱傷害	共鳴解放		熱熔	Damage	攻擊	127.40%	137.84%	148.28%	162.88%	173.36%	185.36%	202.08%	218.80%	235.52%	253.28%	656.00%	800.00%	400.00%	200.00%	Skill						8.00		6.56		4				
普攻	黑咩·閃避反擊傷害	共鳴解放		熱熔	Damage	攻擊	132.76%	143.68%	154.56%	169.80%	180.68%	193.20%	210.60%	228.04%	245.44%	263.96%	344.00%	388.00%	400.00%	150.00%	Basic						3.88		3.44						
	黑咩大暴走	共鳴解放																									20.00			125	16	10			
變奏		變奏技能	1	熱熔	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	10.00	0.00	1.00	1.01	Intro						0.00								
變奏	咩咩幫手	變奏技能		熱熔	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	1000.00%	0.00%	100.00%	100.88%	Intro						10.00								
延奏	熱場	延奏技能		熱熔	Damage	攻擊	707.04%	707.04%	707.04%	707.04%	707.04%	707.04%	707.04%	707.04%	707.04%	707.04%					Outro														
共鳴解放	白咩·失控之炎傷害-1	共鳴回路	1	熱熔	Damage	攻擊	168.00%	181.77%	195.55%	214.83%	228.61%	244.45%	266.49%	288.53%	310.58%	334.00%	10.00	0.00	1.00	2.69	Liberation						0.00								
共鳴解放		共鳴回路	2	熱熔	Damage	攻擊	235.20%	254.48%	273.77%	300.77%	320.06%	342.23%	373.09%	403.95%	434.81%	467.60%	10.00	0.00	1.00	2.69	Liberation						0.00								
共鳴解放	黑咩·暴走之炎傷害-2	共鳴回路	3	熱熔	Damage	攻擊	249.08%	269.51%	289.93%	318.53%	338.95%	362.44%	395.12%	427.80%	460.48%	495.21%	0.00	0.00	1.00	1.99	Liberation						0.00								
共鳴解放	黑咩·暴走之炎傷害-1	共鳴回路	4	熱熔	Damage	攻擊	23.35%	25.26%	27.18%	29.86%	31.77%	33.97%	37.04%	40.10%	43.17%	46.42%	0.00	0.00	1.00	0.19	Liberation						0.00								
共鳴解放		共鳴回路	5	熱熔	Damage	攻擊	348.72%	377.31%	405.91%	445.94%	474.54%	507.42%	553.17%	598.93%	644.68%	693.29%	0.00	0.00	1.00	1.99	Liberation						0.00								
共鳴解放		共鳴回路	6	熱熔	Damage	攻擊	32.69%	35.37%	38.05%	41.80%	44.48%	47.57%	51.86%	56.14%	60.43%	64.99%	0.00	0.00	1.00	0.19	Liberation						0.00								
共鳴解放	白咩·失控之炎傷害	共鳴回路		熱熔	Damage	攻擊	168.00%	181.77%	195.55%	214.83%	228.61%	244.45%	266.49%	288.53%	310.58%	334.00%	1000.00%	0.00%	100.00%	268.80%	Liberation						10.00								
共鳴解放	黑咩·暴走之炎傷害	共鳴回路		熱熔	Damage	攻擊	389.18%	421.07%	453.01%	497.69%	529.57%	566.26%	617.36%	668.40%	719.50%	773.73%	0.00%	0.00%	700.00%	311.35%	Liberation						10.00								
